date,tweet_id,full_text,hashtags
2020-01-21,1219758873394810880,"RT @g_easton819: CDC expanding coronavirus screening to two more airports: Atlanta and Chicago O'Hare

https://t.co/bBwkifBHfh",[]
2020-01-21,1219760249630023682,"RT @StephenPunwasi: 😬 😬 😬

Remember when Ford cut a billion dollars from Toronto's public health? 🤔

A good portion of that was infectious…",[]
